Horse ID,Price_Back_1,Price_Lay_1,Horse Volume %
56330232,12.5,16.5,3.062307866
240980,4.4,4.6,45.13741172
8887142,8.8,9.6,11.57744595
54944458,20,24,1.71753116
15233,19,25,1.630693849
18670569,9.4,10.5,3.865553671
55345341,6.6,6.8,11.93772841
56584908,8,8.4,17.48090503
55432876,19.5,25,0.817009766
56777089,42,70,0.108269499
736812,13,19,2.718931642
56330232,12.5,16.5,3.058890478
240980,4.4,4.5,45.08704055
8887142,9,9.6,11.45121559
54944458,20,24,1.681310612
15233,19,26,1.596304589
18670569,9.4,10.5,3.928725163
55345341,6.2,6.8,12.71473064
56584908,7.6,8.4,17.18640916
55432876,19.5,25,0.79978007
56777089,40,75,0.105986233
736812,13,18.5,2.661592832
56330232,13,17,2.994382368
240980,4.4,4.6,44.87956274
8887142,9,9.6,11.45121559
54944458,23,36,1.681310612
15233,19,25,1.596304589
18670569,9.4,10.5,3.928725163
55345341,6.4,6.8,12.71473064
56584908,7.6,8.4,17.18640916
55432876,19.5,25,0.79978007
56777089,40,65,0.105986233
736812,13,18.5,2.661592832
56330232,13,17,2.994382368
240980,4.4,4.6,44.87956274
8887142,9,9.6,11.30926226
54944458,23,34,1.660468489
15233,19,24,1.946977897
18670569,9.4,10.5,3.880380536
55345341,6.4,6.8,12.55711433
56584908,7.6,8.4,16.97336034
55432876,19.5,25,0.789865712
56777089,40,70,0.10467239
736812,13,18.5,3.497415342
56330232,13,17,2.957262942
240980,4.4,4.6,44.32321977
8887142,9,9.6,11.30926226
54944458,23,40,1.660468489
15233,19.5,24,1.946977897
18670569,9.4,10.5,3.880380536
55345341,6.4,6.8,12.55711433
56584908,7.6,8.4,16.97336034
55432876,16,23,0.789865712
56777089,40,75,0.10467239
736812,13.5,18.5,3.497415342
56330232,12.5,16,2.957262942
240980,4.4,4.6,44.32321977
8887142,9,9.6,11.30926226
54944458,23,40,1.660468489
15233,18.5,26,1.946977897
18670569,9.4,10.5,3.880380536
55345341,6.4,6.8,12.55711433
56584908,7.8,8.4,16.97336034
55432876,18,24,0.789865712
56777089,40,65,0.10467239
736812,13.5,18.5,3.497415342
56330232,14.5,16,2.957262942
240980,4.4,4.6,44.32321977
8887142,9,9.6,11.30926226
54944458,23,40,1.660468489
15233,18.5,25,1.946977897
18670569,9.4,10.5,3.880380536
55345341,6.4,6.8,12.55711433
56584908,7.8,8.4,16.97336034
55432876,18,24,0.789865712
56777089,30,55,0.10467239
736812,13.5,18.5,3.497415342
56330232,14,14.5,2.957262942
240980,4.1,4.6,44.32321977
8887142,8.8,10,11.35082095
54944458,23,34,1.583629469
15233,18.5,25,1.868464718
18670569,9.6,11.5,5.647642443
55345341,5.8,6.2,12.58862771
56584908,9.4,12,16.18790949
55432876,16.5,20,0.753314276
56777089,40,70,0.099828622
736812,11.5,14,3.672534863
56330232,12,13.5,3.228246389
240980,4.7,4.8,43.01898107
8887142,8.8,10,11.09013921
54944458,21,30,1.585209153
15233,20,26,1.825553758
18670569,9.6,11.5,5.517939295
55345341,5.4,5.9,12.43267355
56584908,10,12.5,15.81613971
55432876,17.5,21,0.736013742
56777089,40,70,0.097535968
736812,14,15.5,5.114147043
56330232,12,13.5,3.15410683
240980,4.6,4.8,42.63054174
8887142,8.8,10,12.33631605
54944458,26,38,1.514255369
15233,20,26,2.955373667
18670569,9.6,11.5,5.270956951
55345341,5.6,6.2,11.87618848
56584908,11,13.5,15.10821107
55432876,16,19,0.703069849
56777089,60,75,0.093170269
736812,12.5,15,5.235342377
56330232,11.5,12.5,3.012929362
240980,4.5,4.8,41.89418656
8887142,9.2,10,12.59447996
54944458,26,38,1.507248212
15233,18.5,26,2.941697791
18670569,9.6,11.5,5.246565804
55345341,5.6,6,11.82123188
56584908,11,12,15.03829841
55432876,16,19,0.699816421
56777089,60,75,0.092739128
736812,12,15,5.211116035
56330232,11.5,12.5,2.998987149
240980,4.8,5.1,41.84781921
8887142,8.4,9.8,12.98292593
54944458,26,38,1.489679853
15233,18.5,26,2.907409609
18670569,9.8,11.5,5.190417498
55345341,5.3,5.9,12.30878479
56584908,10,12.5,14.86301327
55432876,16,19,0.69165942
56777089,60,85,0.091658168
736812,12,15,5.150375705
56330232,11.5,12.5,2.964031208
240980,4.6,5.1,41.36004455
8887142,8.6,9.8,12.97610636
54944458,26,38,1.488897366
15233,18.5,26,2.957784351
18670569,9.8,11.5,5.187691115
55345341,5.3,5.9,12.30231933
56584908,12.5,14,14.85520614
55432876,16,19,0.69129611
56777089,60,80,0.091610023
736812,12,15,5.147670354
56330232,11.5,12.5,2.962474284
240980,5,5.3,41.33894458
8887142,8.4,9.6,12.98734146
54944458,27,40,1.468810147
15233,15,19.5,3.24174604
18670569,10.5,11.5,5.241079801
55345341,5.3,5.8,12.32171939
56584908,12.5,14,14.65478952
55432876,17,19,0.6819696
56777089,42,75,0.090374081
736812,10.5,15,5.078221389
56330232,12,13.5,3.267655332
240980,4.9,5.3,40.96629324
8887142,8.4,9.6,12.86468947
54944458,27,40,1.454938756
15233,18,21,3.986874387
18670569,10,11.5,5.360236359
55345341,5.3,5.8,12.20535351
56584908,12.5,14,14.51639021
55432876,15.5,17,0.675529103
56777089,42,75,0.089520591
736812,10.5,15,5.030262848
56330232,11,13.5,3.236795713
240980,4.9,5.3,40.57940904
8887142,8.4,9.8,12.86468947
54944458,27,40,1.454938756
15233,18,21,3.986874387
18670569,10,11.5,5.360236359
55345341,5.3,5.8,12.20535351
56584908,12.5,14,14.51639021
55432876,15.5,17,0.675529103
56777089,40,85,0.089520591
736812,10.5,15,5.030262848
56330232,11,13.5,3.236795713
240980,4.9,5.1,40.57940904
8887142,9,9.8,12.86468947
54944458,27,40,1.454938756
15233,18,21,3.986874387
18670569,10,11.5,5.360236359
55345341,5.3,5.8,12.20535351
56584908,12.5,14,14.51639021
55432876,15.5,17,0.675529103
56777089,40,80,0.089520591
736812,10.5,15,5.030262848
56330232,11,13.5,3.236795713
